DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de notificação e Ano 1º Sintoma(s)
Ano 1º Sintoma(s): 2018, 2019
Período:2018-2019
"Município de notificação";"2018";"2019";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-
"110001 ALTA FLORESTA D'OESTE";2;232;234
"110002 ARIQUEMES";7;28;35
"110003 CABIXI";4;91;95
"110004 CACOAL";34;34;68
"110005 CEREJEIRAS";10;14;24
"110006 COLORADO DO OESTE";16;10;26
"110007 CORUMBIARA";-;6;6
"110008 COSTA MARQUES";-;2;2
"110009 ESPIGAO D'OESTE";40;14;54
"110010 GUAJARA-MIRIM";47;8;55
"110011 JARU";1;10;11
"110012 JI-PARANA";28;14;42
"110013 MACHADINHO D'OESTE";6;2;8
"110014 NOVA BRASILANDIA D'OESTE";4;21;25
"110015 OURO PRETO DO OESTE";8;13;21
"110018 PIMENTA BUENO";5;11;16
"110020 PORTO VELHO";123;172;295
"110025 PRESIDENTE MEDICI";13;23;36
"110026 RIO CRESPO";3;-;3
"110028 ROLIM DE MOURA";10;5;15
"110029 SANTA LUZIA D'OESTE";2;-;2
"110030 VILHENA";15;17;32
"110032 SAO MIGUEL DO GUAPORE";1;1;2
"110033 NOVA MAMORE";2;29;31
"110034 ALVORADA D'OESTE";-;-;-
"110037 ALTO ALEGRE DOS PARECIS";2;37;39
"110040 ALTO PARAISO";6;4;10
"110045 BURITIS";107;97;204
"110050 NOVO HORIZONTE DO OESTE";-;1;1
"110060 CACAULANDIA";-;-;-
"110070 CAMPO NOVO DE RONDONIA";4;12;16
"110080 CANDEIAS DO JAMARI";6;7;13
"110090 CASTANHEIRAS";-;3;3
"110092 CHUPINGUAIA";-;-;-
"110094 CUJUBIM";1;7;8
"110100 GOVERNADOR JORGE TEIXEIRA";1;-;1
"110110 ITAPUA DO OESTE";1;4;5
"110120 MINISTRO ANDREAZZA";-;1;1
"110130 MIRANTE DA SERRA";-;-;-
"110140 MONTE NEGRO";4;13;17
"110143 NOVA UNIAO";1;1;2
"110145 PARECIS";3;-;3
"110146 PIMENTEIRAS DO OESTE";5;4;9
"110147 PRIMAVERA DE RONDONIA";2;2;4
"110148 SAO FELIPE D'OESTE";7;2;9
"110149 SAO FRANCISCO DO GUAPORE";3;8;11
"110150 SERINGUEIRAS";6;-;6
"110155 TEIXEIROPOLIS";-;-;-
"110160 THEOBROMA";-;-;-
"110170 URUPA";-;-;-
"110175 VALE DO ANARI";3;2;5
"110180 VALE DO PARAISO";1;4;5
" MUNICIPIO IGNORADO - AC";-;-;-
"120001 ACRELANDIA";58;8;66
"120005 ASSIS BRASIL";4;80;84
"120010 BRASILEIA";162;347;509
"120013 BUJARI";8;-;8
"120017 CAPIXABA";16;62;78
"120020 CRUZEIRO DO SUL";1021;2810;3831
"120025 EPITACIOLANDIA";40;39;79
"120030 FEIJO";1216;1;1217
"120032 JORDAO";-;-;-
"120033 MANCIO LIMA";605;273;878
"120034 MANOEL URBANO";184;4;188
"120035 MARECHAL THAUMATURGO";-;9;9
"120038 PLACIDO DE CASTRO";485;117;602
"120039 PORTO WALTER";3;-;3
"120040 RIO BRANCO";1806;2805;4611
"120042 RODRIGUES ALVES";85;413;498
"120043 SANTA ROSA DO PURUS";-;-;-
"120045 SENADOR GUIOMARD";23;27;50
"120050 SENA MADUREIRA";1141;278;1419
"120060 TARAUACA";295;1893;2188
"120070 XAPURI";155;665;820
"120080 PORTO ACRE";73;10;83
" MUNICIPIO IGNORADO - AM";-;-;-
"130002 ALVARAES";1;3;4
"130006 AMATURA";-;-;-
"130008 ANAMA";-;-;-
"130010 ANORI";2;-;2
"130014 APUI";-;-;-
"130020 ATALAIA DO NORTE";-;11;11
"130030 AUTAZES";-;-;-
"130040 BARCELOS";1;9;10
"130050 BARREIRINHA";-;-;-
"130060 BENJAMIN CONSTANT";1;396;397
"130063 BERURI";-;-;-
"130068 BOA VISTA DO RAMOS";1;-;1
"130070 BOCA DO ACRE";40;155;195
"130080 BORBA";8;43;51
"130083 CAAPIRANGA";-;-;-
"130090 CANUTAMA";-;-;-
"130100 CARAUARI";2;599;601
"130110 CAREIRO";-;-;-
"130115 CAREIRO DA VARZEA";-;-;-
"130120 COARI";15;2;17
"130130 CODAJAS";1;7;8
"130140 EIRUNEPE";-;10;10
"130150 ENVIRA";1;-;1
"130160 FONTE BOA";-;-;-
"130165 GUAJARA";105;618;723
"130170 HUMAITA";18;70;88
"130180 IPIXUNA";-;22;22
"130185 IRANDUBA";-;1;1
"130190 ITACOATIARA";351;35;386
"130195 ITAMARATI";-;-;-
"130200 ITAPIRANGA";1;-;1
"130210 JAPURA";-;-;-
"130220 JURUA";-;-;-
"130230 JUTAI";-;-;-
"130240 LABREA";3;1;4
"130250 MANACAPURU";2;11;13
"130255 MANAQUIRI";-;-;-
"130260 MANAUS";1297;468;1765
"130270 MANICORE";-;-;-
"130280 MARAA";-;-;-
"130290 MAUES";15;4;19
"130300 NHAMUNDA";-;-;-
"130310 NOVA OLINDA DO NORTE";1;1;2
"130320 NOVO AIRAO";-;7;7
"130330 NOVO ARIPUANA";16;14;30
"130340 PARINTINS";7;2;9
"130350 PAUINI";-;1;1
"130353 PRESIDENTE FIGUEIREDO";3;48;51
"130356 RIO PRETO DA EVA";3;1;4
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-
"130370 SANTO ANTONIO DO ICA";-;1;1
"130380 SAO GABRIEL DA CACHOEIRA";114;829;943
"130390 SAO PAULO DE OLIVENCA";-;5;5
"130395 SAO SEBASTIAO DO UATUMA";-;-;-
"130400 SILVES";-;-;-
"130406 TABATINGA";17;382;399
"130410 TAPAUA";35;15;50
"130420 TEFE";274;48;322
"130423 TONANTINS";-;-;-
"130426 UARINI";-;-;-
"130430 URUCARA";-;2;2
"130440 URUCURITUBA";5;-;5
" MUNICIPIO IGNORADO - RR";-;-;-
"140002 AMAJARI";-;6;6
"140005 ALTO ALEGRE";1;6;7
"140010 BOA VISTA";78;1023;1101
"140015 BONFIM";1;46;47
"140017 CANTA";-;4;4
"140020 CARACARAI";1;196;197
"140023 CAROEBE";1;208;209
"140028 IRACEMA";-;1;1
"140030 MUCAJAI";3;46;49
"140040 NORMANDIA";3;2;5
"140045 PACARAIMA";1;3;4
"140047 RORAINOPOLIS";20;6;26
"140050 SAO JOAO DA BALIZA";5;16;21
"140060 SAO LUIZ";-;2;2
"140070 UIRAMUTA";-;19;19
" MUNICIPIO IGNORADO - PA";-;-;-
"150010 ABAETETUBA";35;7;42
"150013 ABEL FIGUEIREDO";2;6;8
"150020 ACARA";8;2;10
"150030 AFUA";1;5;6
"150034 AGUA AZUL DO NORTE";5;30;35
"150040 ALENQUER";13;5;18
"150050 ALMEIRIM";77;-;77
"150060 ALTAMIRA";22;53;75
"150070 ANAJAS";-;-;-
"150080 ANANINDEUA";83;59;142
"150085 ANAPU";5;134;139
"150090 AUGUSTO CORREA";65;4;69
"150095 AURORA DO PARA";16;1;17
"150100 AVEIRO";-;-;-
"150110 BAGRE";-;-;-
"150120 BAIAO";29;1;30
"150125 BANNACH";3;29;32
"150130 BARCARENA";24;8;32
"150140 BELEM";289;192;481
"150145 BELTERRA";17;4;21
"150150 BENEVIDES";10;5;15
"150157 BOM JESUS DO TOCANTINS";-;-;-
"150160 BONITO";4;17;21
"150170 BRAGANCA";23;29;52
"150172 BRASIL NOVO";9;73;82
"150175 BREJO GRANDE DO ARAGUAIA";16;2;18
"150178 BREU BRANCO";143;5;148
"150180 BREVES";-;2;2
"150190 BUJARU";-;-;-
"150195 CACHOEIRA DO PIRIA";-;-;-
"150200 CACHOEIRA DO ARARI";-;-;-
"150210 CAMETA";4;13;17
"150215 CANAA DOS CARAJAS";39;292;331
